n,t(n)
5000,0.002
10000,0.008
20000,0.014
30000,0.027
50000,0.036
80000,0.045
100000,0.058
200000,0.062
300000,0.099
500000,0.186
1000000,0.298
2000000,0.471
5000000,1.796
8000000,3.478
10000000,4.979
20000000,7.021
50000000,11.052
80000000,34.088
100000000,48.882
500000000,284.324
