n,t(n)
10,0.447
20,0.857
50,2.128
80,3.434
100,4.247
150,7.271
200,8.42
250,10.787
300,14.421
350,15.137
400,17.415
450,19.875
500,22.077
550,24.537
600,26.962
650,29.019
700,31.566
750,33.724
800,36.592
850,38.624
900,40.843
950,43.157
1000,46.252
