Sum,t(Sum)
1000,0.024
5000,0.141
10000,0.374
20000,0.892
30000,1.398
40000,1.956
50000,2.448
60000,2.95
70000,3.454
80000,3.976
90000,4.585
100000,5.248
200000,10.252
300000,15.53
400000,20.658
500000,25.684
600000,31.035
700000,36.129
800000,41.845
900000,47.575
1000000,52.331
1500000,79.643
2000000,108.299
