n,t(n),sqrt(n)*1.63995681e+08,,lg(n)*4.66877021e+09,,n*504448.70675107,,n*lg(n)*30059.654101,,N^2*4.00021115,,N^3*2.73564568e-05,,n!
7037,198802791,13757077571,1.83827E+20,59670360573,3.53687E+21,3549805549,1.12292E+19,2703508211,6.27355E+18,198087932,5.11023E+11,9532844.307,3.58231E+16,
7740,239000428,14427892272,2.01325E+20,60311723792,3.60873E+21,3904432990,1.34354E+19,3005551554,7.65381E+18,239643049.5,4.12962E+11,12684773.86,5.12188E+16,
8514,289790080,15132101075,2.20294E+20,60953696148,3.68011E+21,4294876289,1.60407E+19,3341297697,9.3117E+18,289968089.9,31687518298,16883434,7.4478E+16,
9365,350472851,15870342574,2.40866E+20,61595380816,3.75094E+21,4724162139,1.91292E+19,3713961574,1.13131E+19,350831418.5,1.28571E+11,22468971.44,1.07587E+17,
10301,424706911,16644551765,2.63083E+20,62237026240,3.82076E+21,5196326128,2.27683E+19,4127714968,1.37123E+19,424464809.3,58613255706,29901846.55,1.55871E+17,
11331,511546223,17456876134,2.87144E+20,62878939152,3.88969E+21,5715908296,2.70854E+19,4587276574,1.66116E+19,513593353.9,4.19074E+12,39798304.05,2.22546E+17,
12464,620394408,18308852704,3.12882E+20,63520857467,3.95647E+21,6287448681,3.21155E+19,5097476966,2.00443E+19,621437986.4,1.08906E+12,52970267.73,3.2197E+17,
13710,753186076,19202206598,3.40366E+20,64162633308,4.02076E+21,6915991770,3.79802E+19,5663711383,2.41133E+19,751896088.6,1.66407E+12,70497255.73,4.66064E+17,
15081,911131535,20139444184,3.69728E+20,64804605664,4.08238E+21,7607590947,4.48426E+19,6292416945,2.89582E+19,909794267.2,1.78829E+12,93831847.37,6.67979E+17,
16589,1099362787,21122363594,4.00921E+20,65446537416,4.14056E+21,8368299596,5.28374E+19,6990180031,3.47017E+19,1100837791,2.17564E+12,124887930.3,9.49601E+17,
18247,1331855459,22152775516,4.33511E+20,66088177558,4.19338E+21,9204675552,6.19813E+19,7764200246,4.13751E+19,1331882339,722535897.2,166201241.3,1.35875E+18,
20071,1611439135,23233621826,4.67519E+20,66729915005,4.24042E+21,10124789993,7.24771E+19,8623251692,4.91655E+19,1611465225,680674032.7,221190708.5,1.93279E+18,
22078,1950035692,24367572961,5.02546E+20,67371856853,4.28001E+21,11137218548,8.44043E+19,9576784743,5.81673E+19,1949855259,32556229360,294400832.7,2.74113E+18,
24285,2360770483,25556505190,5.38042E+20,68013607326,4.31029E+21,12250536843,9.78075E+19,10634458902,6.84539E+19,2359169428,2.56338E+12,391808786,3.87681E+18,
26713,2861760983,26803637925,5.73213E+20,68655453609,4.32881E+21,13475338303,1.12648E+20,11808077224,8.00366E+19,2854488149,5.28941E+13,521468211.9,5.47697E+18,
29384,3456721260,28111749114,6.0787E+20,69297357197,4.33499E+21,14822720799,1.29186E+20,13110192459,9.31895E+19,3453860135,8.18604E+12,694052931.7,7.63234E+18,
32322,4172843524,29483668771,6.40638E+20,69939246196,4.32522E+21,16304791100,1.47184E+20,14554612683,1.07781E+20,4179067327,3.87357E+13,923750156.1,1.05566E+19,
35554,5061589696,30922645710,6.68794E+20,70581180663,4.29282E+21,17935169320,1.65729E+20,16156930864,1.23107E+20,5056614576,2.47518E+13,1229490709,1.4685E+19,
