1
232,216476
255,263355
280,311656
308,376668
338,459616
371,553323
408,659212
448,812440
492,967856
541,1173431
595,1410303
654,1708096
719,2069691
790,2498860
869,3017359
955,3683299
1050,4406660
1155,5373115
1270,6470156
1397,7815967
1536,9484784
1689,11446003
1857,13801271
2042,16639444
2246,20224836
2470,24292444
2717,29532579
2988,35936388
3286,43432456
3614,51965124
3975,63183867
4372,75907736
4809,92655627
5289,112001883
5817,135643907
6398,163898240
7037,198802791
7740,239000428
8514,289790080
9365,350472851
10301,424706911
11331,511546223
12464,620394408
13710,753186076
15081,911131535
16589,1099362787
18247,1331855459
20071,1611439135
22078,1950035692
24285,2360770483
26713,2861760983
29384,3456721260
32322,4172843524
35554,5061589696
39109,6119086879
43019,7411408947
47320,8966763768
52052,10838844884
57257,13124778379
62982,15881864296
69280,19188506984
76208,23215407248
83828,28107818880
92210,34015943236
101431,41112875211
111574,49806947092
122731,60266057407
135004,72947282104
148504,88201852992
163354,106737784300
